アクティビティ &#21517;&#21069; miyohide
 
 お気に入り,アクティビティ名,アクティビティ タイプ,コース,スタート,タイム,距離,高度上昇量,平均スピード(平均ペース),最高スピード(ベストペース),平均心拍,最高心拍,カロリー,合計ストローク数,平均ストローク数,最小ストローク数,平均SWOLF,最高SWOLF,トレーニング効果,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 3 29 9:50 午前",48:34,10.03,44,4:51,3:24,--,--,594,--,--,--,--,--,--,
 false,Teramachi ランニング,ランニング,--,"金, 2015 3 27 6:14 午前",48:18,10.04,22,4:49,3:47,--,--,588,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"火, 2015 3 24 8:37 午後",32:18,7.02,46,4:36,3:50,--,--,410,--,--,--,--,--,--,
 false,タイトルなし,ランニング,--,"日, 2015 3 22 8:25 午前",49:25,10.50,28,4:42,3:42,--,--,606,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"金, 2015 3 20 7:33 午後",24:28,5.04,29,4:52,1:25,--,--,300,--,--,--,--,--,--,
 false,横浜マラソン,ランニング,--,"日, 2015 3 15 8:43 午前",3:59:26,42.29,169,5:40,1:56,--,--,"2,500",--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 3 8 12:25 午後",46:59,10.02,49,4:41,3:12,--,--,593,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"金, 2015 3 6 7:31 午後",32:49,7.02,47,4:41,3:01,--,--,417,--,--,--,--,--,--,
 false,Iwasakichou ランニング,ランニング,--,"水, 2015 3 4 9:08 午後",28:10,6.02,38,4:41,2:35,--,--,444,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"月, 2015 3 2 8:16 午後",57:49,12.12,78,4:46,2:09,--,--,704,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"金, 2015 2 27 7:15 午後",23:34,5.02,33,4:41,2:21,--,--,293,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"水, 2015 2 25 7:11 午後",48:53,10.02,52,4:53,:41,--,--,593,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 2 22 4:15 午後",1:43:21,21.24,115,4:52,3:11,--,--,"1,239",--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"金, 2015 2 20 8:16 午後",50:09,10.52,47,4:46,2:55,--,--,620,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 2 15 9:59 午前",1:20:21,16.03,109,5:01,1:58,--,--,927,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"金, 2015 2 13 8:57 午後",34:01,7.24,46,4:42,2:22,--,--,429,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"水, 2015 2 11 10:31 午前",48:08,10.03,39,4:48,3:03,--,--,586,--,--,--,--,--,--,
 false,Kasumidai ランニング,ランニング,--,"日, 2015 2 8 9:36 午前",1:14:03,15.04,85,4:55,3:42,--,--,876,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"金, 2015 2 6 8:49 午後",47:32,10.09,53,4:43,3:04,--,--,596,--,--,--,--,--,--,
 false,Setogayachou ランニング,ランニング,--,"火, 2015 2 3 7:50 午後",32:57,7.02,42,4:42,3:07,--,--,408,--,--,--,--,--,--,
 
